CIDR block,IP Address,IP range (network - broadcast),Subnet Mask,IP Quantity,hostname
10.0.0.0/32,10.0.0.0,10.0.0.0 - 10.0.0.0,255.255.255.255,1,host1
10.0.0.0/31,10.0.0.0,10.0.0.0 - 10.0.0.1,255.255.255.254,2,host2
10.0.0.0/31,10.0.0.1,10.0.0.0 - 10.0.0.1,255.255.255.254,2,host3
10.0.0.0/30,10.0.0.0,10.0.0.0 - 10.0.0.3,255.255.255.252,4,host4
10.0.0.0/30,10.0.0.1,10.0.0.0 - 10.0.0.3,255.255.255.252,4,host5
10.0.0.0/30,10.0.0.2,10.0.0.0 - 10.0.0.3,255.255.255.252,4,host6
10.0.0.0/30,10.0.0.3,10.0.0.0 - 10.0.0.3,255.255.255.252,4,host7
10.0.0.0/29,10.0.0.0,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host8
10.0.0.0/29,10.0.0.1,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host9
10.0.0.0/29,10.0.0.2,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host10
10.0.0.0/29,10.0.0.3,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host11
10.0.0.0/29,10.0.0.4,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host12
10.0.0.0/29,10.0.0.5,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host13
10.0.0.0/29,10.0.0.6,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host14
10.0.0.0/29,10.0.0.7,10.0.0.0 - 10.0.0.7,255.255.255.248,8,host15
10.0.0.0/28,10.0.0.0,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host16
10.0.0.0/28,10.0.0.1,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host17
10.0.0.0/28,10.0.0.10,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host18
10.0.0.0/28,10.0.0.11,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host19
10.0.0.0/28,10.0.0.12,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host20
10.0.0.0/28,10.0.0.13,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host21
10.0.0.0/28,10.0.0.14,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host22
10.0.0.0/28,10.0.0.15,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host23
10.0.0.0/28,10.0.0.2,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host24
10.0.0.0/28,10.0.0.3,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host25
10.0.0.0/28,10.0.0.4,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host26
10.0.0.0/28,10.0.0.5,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host27
10.0.0.0/28,10.0.0.6,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host28
10.0.0.0/28,10.0.0.7,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host29
10.0.0.0/28,10.0.0.8,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host30
10.0.0.0/28,10.0.0.9,10.0.0.0 - 10.0.0.15,255.255.255.240,16,host31
10.0.0.0/27,10.0.0.0,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host32
10.0.0.0/27,10.0.0.1,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host33
10.0.0.0/27,10.0.0.10,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host34
10.0.0.0/27,10.0.0.11,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host35
10.0.0.0/27,10.0.0.12,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host36
10.0.0.0/27,10.0.0.13,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host37
10.0.0.0/27,10.0.0.14,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host38
10.0.0.0/27,10.0.0.15,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host39
10.0.0.0/27,10.0.0.16,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host40
10.0.0.0/27,10.0.0.17,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host41
10.0.0.0/27,10.0.0.18,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host42
10.0.0.0/27,10.0.0.19,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host43
10.0.0.0/27,10.0.0.2,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host44
10.0.0.0/27,10.0.0.20,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host45
10.0.0.0/27,10.0.0.21,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host46
10.0.0.0/27,10.0.0.22,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host47
10.0.0.0/27,10.0.0.23,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host48
10.0.0.0/27,10.0.0.24,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host49
10.0.0.0/27,10.0.0.25,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host50
10.0.0.0/27,10.0.0.26,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host51
10.0.0.0/27,10.0.0.27,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host52
10.0.0.0/27,10.0.0.28,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host53
10.0.0.0/27,10.0.0.29,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host54
10.0.0.0/27,10.0.0.3,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host55
10.0.0.0/27,10.0.0.30,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host56
10.0.0.0/27,10.0.0.31,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host57
10.0.0.0/27,10.0.0.4,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host58
10.0.0.0/27,10.0.0.5,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host59
10.0.0.0/27,10.0.0.6,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host60
10.0.0.0/27,10.0.0.7,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host61
10.0.0.0/27,10.0.0.8,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host62
10.0.0.0/27,10.0.0.9,10.0.0.0 - 10.0.0.31,255.255.255.224,32,host63
10.0.0.0/26,10.0.0.0,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host64
10.0.0.0/26,10.0.0.1,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host65
10.0.0.0/26,10.0.0.10,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host66
10.0.0.0/26,10.0.0.11,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host67
10.0.0.0/26,10.0.0.12,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host68
10.0.0.0/26,10.0.0.13,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host69
10.0.0.0/26,10.0.0.14,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host70
10.0.0.0/26,10.0.0.15,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host71
10.0.0.0/26,10.0.0.16,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host72
10.0.0.0/26,10.0.0.17,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host73
10.0.0.0/26,10.0.0.18,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host74
10.0.0.0/26,10.0.0.19,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host75
10.0.0.0/26,10.0.0.2,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host76
10.0.0.0/26,10.0.0.20,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host77
10.0.0.0/26,10.0.0.21,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host78
10.0.0.0/26,10.0.0.22,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host79
10.0.0.0/26,10.0.0.23,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host80
10.0.0.0/26,10.0.0.24,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host81
10.0.0.0/26,10.0.0.25,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host82
10.0.0.0/26,10.0.0.26,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host83
10.0.0.0/26,10.0.0.27,10.0.0.0 - 10.0.0.63,255.255.255.192,64,host84
