CIDR block,IP range (network - broadcast),Subnet Mask,IP Quantity  
10.0.0.0/32,10.0.0.0 - 10.0.0.0,255.255.255.255,1
10.0.0.0/31,10.0.0.0 - 10.0.0.1,255.255.255.254,2
10.0.0.0/30,10.0.0.0 - 10.0.0.3,255.255.255.252,4
10.0.0.0/29,10.0.0.0 - 10.0.0.7,255.255.255.248,8
10.0.0.0/28,10.0.0.0 - 10.0.0.15,255.255.255.240,16
10.0.0.0/27,10.0.0.0 - 10.0.0.31,255.255.255.224,32
10.0.0.0/26,10.0.0.0 - 10.0.0.63,255.255.255.192,64
10.0.0.0/25,10.0.0.0 - 10.0.0.127,255.255.255.128,128
10.0.0.0/24,10.0.0.0 - 10.0.0.255,255.255.255.0,256
10.0.0.0/23,10.0.0.0 - 10.0.1.255,255.255.254.0,512
192.168.1.0/32,192.168.1.0 - 192.168.1.0,255.255.255.255,1
192.168.1.0/31,192.168.1.0 - 192.168.1.1,255.255.255.254,2
192.168.1.0/30,192.168.1.0 - 192.168.1.3,255.255.255.252,4
192.168.1.0/29,192.168.1.0 - 192.168.1.7,255.255.255.248,8
192.168.1.0/28,192.168.1.0 - 192.168.1.15,255.255.255.240,16
192.168.1.0/27,192.168.1.0 - 192.168.1.31,255.255.255.224,32
192.168.1.0/26,192.168.1.0 - 192.168.1.63,255.255.255.192,64
192.168.1.0/25,192.168.1.0 - 192.168.1.127,255.255.255.128,128
192.168.1.0/24,192.168.1.0 - 192.168.1.255,255.255.255.0,256
192.168.0.0/23,192.168.0.0 - 192.168.1.255,255.255.254.0,512
